iter	Passed	Remaining
0	46	18422
1	81	16195
2	121	16073
3	160	15857
4	195	15460
5	231	15224
6	276	15520
7	316	15507
8	352	15325
9	393	15337
10	448	15868
11	480	15548
12	527	15690
13	564	15572
14	604	15513
15	642	15421
16	676	15251
17	714	15160
18	753	15115
19	799	15194
20	835	15086
21	872	14993
22	909	14905
23	942	14772
24	974	14623
25	1011	14544
26	1043	14412
27	1073	14259
28	1102	14107
29	1132	13972
30	1165	13870
31	1197	13773
32	1238	13777
33	1273	13710
34	1312	13685
35	1344	13589
36	1381	13558
37	1421	13543
38	1455	13470
39	1490	13414
40	1530	13399
41	1561	13313
42	1595	13246
43	1635	13235
44	1670	13181
45	1705	13128
46	1739	13064
47	1772	12997
48	1802	12909
49	1842	12897
50	1885	12901
51	1920	12852
52	1956	12812
53	1987	12734
54	2023	12694
55	2058	12642
56	2094	12603
57	2130	12561
58	2165	12515
59	2198	12456
60	2234	12418
61	2269	12375
62	2304	12326
63	2327	12217
64	2363	12180
65	2398	12135
66	2430	12081
67	2462	12024
68	2503	12009
69	2547	12007
70	2588	11994
71	2622	11946
72	2663	11929
73	2697	11883
74	2734	11850
75	2772	11819
76	2810	11789
77	2843	11738
78	2884	11719
79	2919	11678
80	2960	11660
81	3004	11650
82	3040	11612
83	3076	11572
84	3109	11523
85	3139	11463
86	3179	11440
87	3215	11399
88	3253	11367
89	3283	11310
90	3321	11278
91	3358	11243
92	3399	11220
93	3436	11186
94	3471	11145
95	3506	11103
96	3541	11062
97	3579	11029
98	3615	10991
99	3650	10952
100	3687	10916
101	3722	10875
102	3752	10819
103	3789	10785
104	3832	10766
105	3875	10748
106	3913	10717
107	3947	10671
108	3980	10626
109	4015	10587
110	4052	10550
111	4061	10443
112	4105	10427
113	4146	10401
114	4186	10375
115	4226	10348
116	4261	10308
117	4276	10220
118	4312	10184
119	4349	10148
120	4383	10106
121	4414	10058
122	4457	10037
123	4504	10025
124	4549	10008
125	4591	9984
126	4630	9954
127	4665	9914
128	4696	9866
129	4730	9825
130	4772	9800
131	4811	9768
132	4846	9730
133	4883	9694
134	4920	9659
135	4960	9628
136	4999	9598
137	5031	9553
138	5070	9520
139	5106	9484
140	5140	9442
141	5174	9400
142	5212	9367
143	5255	9342
144	5295	9311
145	5344	9297
146	5376	9253
147	5416	9222
148	5455	9189
149	5494	9157
150	5533	9124
151	5568	9085
152	5605	9049
153	5640	9010
154	5676	8972
155	5716	8940
156	5753	8904
157	5790	8869
158	5828	8834
159	5870	8806
160	5903	8763
161	5939	8725
162	5979	8694
163	6014	8655
164	6060	8631
165	6109	8612
166	6148	8577
167	6190	8548
168	6226	8510
169	6259	8468
170	6301	8438
171	6338	8402
172	6369	8357
173	6410	8325
174	6451	8294
175	6487	8257
176	6515	8208
177	6551	8170
178	6586	8131
179	6629	8102
180	6669	8069
181	6706	8033
182	6747	8000
183	6785	7965
184	6824	7931
185	6866	7900
186	6902	7862
187	6940	7826
188	6976	7788
189	7014	7752
190	7049	7714
191	7080	7670
192	7120	7636
193	7157	7599
194	7191	7560
195	7223	7518
196	7268	7489
197	7308	7456
198	7349	7423
199	7387	7387
200	7424	7350
201	7462	7314
202	7494	7273
203	7533	7237
204	7567	7198
205	7606	7163
206	7639	7123
207	7658	7069
208	7693	7031
209	7727	6991
210	7769	6959
211	7809	6925
212	7851	6893
213	7892	6859
214	7931	6824
215	7969	6788
216	7999	6745
217	8034	6707
218	8076	6675
219	8113	6638
220	8150	6601
221	8185	6563
222	8219	6523
223	8250	6482
224	8286	6445
225	8315	6402
226	8352	6365
227	8390	6329
228	8428	6293
229	8467	6258
230	8507	6224
231	8544	6187
232	8557	6133
233	8590	6093
234	8625	6056
235	8666	6022
236	8702	5985
237	8741	5949
238	8774	5911
239	8811	5874
240	8850	5839
241	8884	5800
242	8919	5763
243	8946	5720
244	8973	5677
245	9008	5639
246	9040	5600
247	9075	5562
248	9106	5522
249	9139	5483
250	9171	5444
251	9206	5407
252	9233	5364
253	9267	5326
254	9301	5288
255	9338	5253
256	9376	5217
257	9416	5182
258	9454	5147
259	9493	5112
260	9529	5075
261	9568	5039
262	9597	4999
263	9635	4963
264	9674	4928
265	9711	4892
266	9747	4855
267	9776	4815
268	9814	4779
269	9852	4743
270	9891	4708
271	9927	4671
272	9961	4634
273	10000	4598
