iter	RMSE
0	0.8198469338
1	0.8195306377
2	0.8191991953
3	0.81888455
4	0.8185431107
5	0.8182351782
6	0.8179187128
7	0.8176399901
8	0.8173273182
9	0.8170218154
10	0.8167150704
11	0.8164228504
12	0.8161790829
13	0.8159195314
14	0.8157285205
15	0.8154385177
16	0.815172715
17	0.8149935704
18	0.8147567436
19	0.8144481373
20	0.8142698649
21	0.8140495082
22	0.8138826446
23	0.8137047873
24	0.8135647103
25	0.8133796351
26	0.8131983199
27	0.8130367821
28	0.8128295969
29	0.8126765794
30	0.8125161684
31	0.8123884863
32	0.8122147385
33	0.8121005043
34	0.8119311037
35	0.8117616232
36	0.8115514988
37	0.8113234603
38	0.8110901604
39	0.810917698
40	0.8106771628
41	0.810477209
42	0.8103231137
43	0.8101589112
44	0.8099605339
45	0.8097966427
46	0.8096620689
47	0.8095282948
48	0.8093962342
49	0.8092656683
50	0.8091328725
51	0.8089971065
52	0.8088357156
53	0.8086908998
54	0.8085465597
55	0.808448182
56	0.8083360319
57	0.8082133921
58	0.8080278076
59	0.8079175545
60	0.80773773
61	0.8076345582
62	0.8074466442
63	0.8073785212
64	0.8072755364
65	0.8070973036
66	0.8069695034
67	0.8068256808
68	0.8067120783
69	0.8066120707
70	0.8064651323
71	0.8063101986
72	0.8061987415
73	0.8060516686
74	0.805977315
75	0.8058615263
76	0.805764729
77	0.8055932906
78	0.805476145
79	0.8053576889
80	0.8052458979
81	0.8050672763
82	0.8049471239
83	0.8048606922
84	0.804714764
85	0.8045930263
86	0.8044783927
87	0.8043832378
88	0.8042968302
89	0.8042229076
90	0.8041213574
91	0.804021132
92	0.8039375055
93	0.8038493578
94	0.8037320572
95	0.8036212583
96	0.803525601
97	0.8034633669
98	0.8033836853
99	0.8032340163
100	0.8031207315
101	0.8030097598
102	0.8029271903
103	0.8028606221
104	0.8027790175
105	0.8026853063
106	0.8026162937
107	0.8025544259
108	0.8024772617
109	0.8023780951
110	0.802324275
111	0.8023053088
112	0.8021835217
113	0.8021211487
114	0.8019960288
115	0.8018774461
116	0.8017904684
117	0.8017661585
118	0.8016811652
119	0.8015834172
120	0.801529045
121	0.8014729075
122	0.8013359517
123	0.801175004
124	0.8011269142
125	0.8010286916
126	0.8008347427
127	0.800773006
128	0.8007184275
129	0.8006532525
130	0.8005791779
131	0.8004965084
132	0.8004113604
133	0.8002986377
134	0.8002338937
135	0.8001386372
136	0.8000411479
137	0.7999447436
138	0.7999028194
139	0.7997986222
140	0.7997533839
141	0.799690606
142	0.7996259796
143	0.7995331994
144	0.7994791814
145	0.7993926433
146	0.7993072766
147	0.7992509102
148	0.7991380097
149	0.7990337917
150	0.7989701666
151	0.7989090226
152	0.798801392
153	0.7987743704
154	0.7987478722
155	0.7987003821
156	0.7985787244
157	0.798514554
158	0.7984351127
159	0.7983604523
160	0.7983123582
161	0.7982254735
162	0.7980849734
163	0.7980356084
164	0.7979479512
165	0.7978617906
166	0.7978254571
167	0.7977714604
168	0.797678559
169	0.7975567566
170	0.7973707226
171	0.7972946178
172	0.7972046352
173	0.7971742838
174	0.7971169524
175	0.7970635038
176	0.7970344652
177	0.7969900061
178	0.7969384909
179	0.7968752523
180	0.7968432234
181	0.7967484571
182	0.7967084717
183	0.7966919111
184	0.7966218992
185	0.7965543626
186	0.7965041588
187	0.7964421218
188	0.7963741163
189	0.7963312166
190	0.7962940493
191	0.7962312264
192	0.7961329976
193	0.7960955758
194	0.7960473337
195	0.7959682156
196	0.7959399318
197	0.795898578
198	0.7958345936
199	0.7957603124
200	0.795694848
201	0.7956323928
202	0.7955952825
203	0.7955729639
204	0.7954501058
205	0.7954183383
206	0.7953837777
207	0.7953718686
208	0.7953303553
209	0.7952968506
210	0.7952200049
211	0.795132933
212	0.7950902248
213	0.7950242011
214	0.7949473631
215	0.7948980477
216	0.7948843438
217	0.7948291405
218	0.7947845075
219	0.7947535353
220	0.7946690424
221	0.7946146195
222	0.7945541616
223	0.7945084617
224	0.7944389451
225	0.7943974513
226	0.7943705162
227	0.794296865
228	0.7942007571
229	0.7941097169
230	0.7940397675
231	0.7940018843
232	0.7939990348
233	0.7939544256
234	0.7938978142
235	0.793867852
236	0.7938293685
237	0.7937783853
238	0.7937433845
239	0.7937136047
240	0.7936609475
241	0.7936162148
242	0.7935814107
243	0.7935380998
244	0.793497004
245	0.7934247613
246	0.7933536022
247	0.7932838186
248	0.7932550865
249	0.7932190941
250	0.7931563448
251	0.7931148214
252	0.7931004382
253	0.793064242
254	0.7930224263
255	0.7929458437
256	0.7928871715
257	0.7928684397
258	0.792839702
259	0.7927970499
260	0.7927464308
261	0.7926790382
262	0.7926345759
263	0.7925513661
264	0.792462852
265	0.7924190436
266	0.7923838957
267	0.7923463025
268	0.7922987114
269	0.7921675973
270	0.7921120635
271	0.7920572742
272	0.7920139363
273	0.7919399617
274	0.7918686004
275	0.7918375138
276	0.791798816
277	0.7917428212
278	0.7916959807
279	0.7916761764
280	0.7916250699
281	0.791591184
282	0.7915464608
283	0.7914356569
284	0.7914209438
285	0.7913650492
286	0.7913441292
287	0.7913254287
288	0.791260549
289	0.7911949492
290	0.791162269
291	0.791158958
292	0.7911362744
293	0.7910884689
294	0.7910313374
295	0.7909931419
296	0.790942229
297	0.7908791722
298	0.7908379372
299	0.7907335147
300	0.7906572726
301	0.7906338479
302	0.7905493407
303	0.7905093634
304	0.790464121
305	0.7904605685
306	0.790381371
307	0.790315388
308	0.7902749765
309	0.7902570359
310	0.7902318635
311	0.7901740533
312	0.7901384584
313	0.7901162183
314	0.7900965237
315	0.7900349708
316	0.7899896965
317	0.7899644888
318	0.789905921
319	0.7898626219
320	0.7898370464
